Players of Lithuania:
Position: goalkeeper, Skill: 89, M
Position: defender, Skill: 85, M
Position: defender, Skill: 76, S
Position: defender, Skill: 71, S
Position: defender, Skill: 71, S
Position: midfielder, Skill: 90, M
Position: midfielder, Skill: 83, M
Position: midfielder, Skill: 83, M
Position: midfielder, Skill: 74, S
Position: midfielder, Skill: 68, S
Position: midfielder, Skill: 60, S
Position: striker, Skill: 85, M
Position: striker, Skill: 84, M
Position: striker, Skill: 78, M
Position: striker, Skill: 66, S
Position: striker, Skill: 64, S
------------------------------
Players of Greece:
Position: goalkeeper, Skill: 82, M
Position: goalkeeper, Skill: 80, S
Position: defender, Skill: 89, M
Position: defender, Skill: 78, M
Position: defender, Skill: 77, M
Position: defender, Skill: 76, M
Position: defender, Skill: 74, S
Position: defender, Skill: 72, S
Position: defender, Skill: 68, S
Position: midfielder, Skill: 90, M
Position: midfielder, Skill: 84, M
Position: midfielder, Skill: 83, M
Position: midfielder, Skill: 71, S
Position: midfielder, Skill: 66, S
Position: midfielder, Skill: 61, S
Position: striker, Skill: 87, M
Position: striker, Skill: 68, M
Position: striker, Skill: 67, M
Position: striker, Skill: 64, S
Position: striker, Skill: 62, S
------------------------------
Players of Costa Rica:
Position: goalkeeper, Skill: 88, M
Position: goalkeeper, Skill: 63, S
Position: defender, Skill: 85, M
Position: defender, Skill: 81, M
Position: defender, Skill: 80, M
Position: defender, Skill: 76, M
Position: defender, Skill: 74, S
Position: defender, Skill: 65, S
Position: defender, Skill: 60, S
Position: midfielder, Skill: 83, M
Position: midfielder, Skill: 80, M
Position: midfielder, Skill: 69, M
Position: midfielder, Skill: 68, S
Position: midfielder, Skill: 67, S
Position: midfielder, Skill: 62, S
Position: striker, Skill: 88, M
Position: striker, Skill: 85, M
Position: striker, Skill: 75, M
Position: striker, Skill: 71, S
Position: striker, Skill: 63, S
------------------------------
Players of Saudi Arabia:
Position: goalkeeper, Skill: 83, M
Position: goalkeeper, Skill: 75, S
Position: defender, Skill: 89, M
Position: defender, Skill: 87, M
Position: defender, Skill: 86, M
Position: defender, Skill: 82, M
Position: defender, Skill: 80, S
Position: defender, Skill: 71, S
Position: defender, Skill: 60, S
Position: midfielder, Skill: 89, M
Position: midfielder, Skill: 78, M
Position: midfielder, Skill: 78, M
Position: midfielder, Skill: 68, S
Position: midfielder, Skill: 66, S
Position: midfielder, Skill: 65, S
Position: striker, Skill: 89, M
Position: striker, Skill: 86, M
Position: striker, Skill: 69, M
Position: striker, Skill: 62, S
Position: striker, Skill: 62, S
------------------------------
Players of Japan:
Position: goalkeeper, Skill: 90, M
Position: goalkeeper, Skill: 66, S
Position: defender, Skill: 89, M
Position: defender, Skill: 84, M
Position: defender, Skill: 81, M
Position: defender, Skill: 75, M
Position: defender, Skill: 68, S
Position: defender, Skill: 65, S
Position: defender, Skill: 64, S
Position: midfielder, Skill: 81, M
Position: midfielder, Skill: 76, M
Position: midfielder, Skill: 75, M
Position: midfielder, Skill: 71, S
Position: midfielder, Skill: 66, S
Position: midfielder, Skill: 60, S
Position: striker, Skill: 78, M
Position: striker, Skill: 78, M
Position: striker, Skill: 78, M
Position: striker, Skill: 75, S
Position: striker, Skill: 72, S
------------------------------
Players of Germany:
Position: goalkeeper, Skill: 73, M
Position: goalkeeper, Skill: 62, S
Position: defender, Skill: 90, M
Position: defender, Skill: 88, M
Position: defender, Skill: 87, M
Position: defender, Skill: 80, M
Position: defender, Skill: 68, S
Position: defender, Skill: 63, S
Position: defender, Skill: 62, S
Position: midfielder, Skill: 87, M
Position: midfielder, Skill: 83, M
Position: midfielder, Skill: 83, M
Position: midfielder, Skill: 66, S
Position: midfielder, Skill: 63, S
Position: midfielder, Skill: 61, S
Position: striker, Skill: 87, M
Position: striker, Skill: 82, M
Position: striker, Skill: 79, M
Position: striker, Skill: 68, S
Position: striker, Skill: 64, S
------------------------------
Players of Luxembourg:
Position: goalkeeper, Skill: 80, M
Position: goalkeeper, Skill: 68, S
Position: defender, Skill: 83, M
Position: defender, Skill: 80, M
Position: defender, Skill: 80, M
Position: defender, Skill: 73, M
Position: defender, Skill: 71, S
Position: defender, Skill: 70, S
Position: defender, Skill: 62, S
Position: midfielder, Skill: 89, M
Position: midfielder, Skill: 89, M
Position: midfielder, Skill: 83, M
Position: midfielder, Skill: 72, S
Position: midfielder, Skill: 69, S
Position: midfielder, Skill: 61, S
Position: striker, Skill: 84, M
Position: striker, Skill: 82, M
Position: striker, Skill: 68, M
Position: striker, Skill: 63, S
Position: striker, Skill: 61, S
------------------------------
Players of Canada:
Position: goalkeeper, Skill: 82, M
Position: goalkeeper, Skill: 61, S
Position: defender, Skill: 75, M
Position: defender, Skill: 75, M
Position: defender, Skill: 74, M
Position: defender, Skill: 73, M
Position: defender, Skill: 72, S
Position: defender, Skill: 66, S
Position: defender, Skill: 65, S
Position: midfielder, Skill: 90, M
Position: midfielder, Skill: 76, M
Position: midfielder, Skill: 75, M
Position: midfielder, Skill: 73, S
Position: midfielder, Skill: 70, S
Position: midfielder, Skill: 67, S
Position: striker, Skill: 82, M
Position: striker, Skill: 81, M
Position: striker, Skill: 78, M
Position: striker, Skill: 73, S
Position: striker, Skill: 72, S
------------------------------
